,ISO,Country,Current account balance,General government net lending/borrowing,"Gross domestic product per capita, constant prices","Gross domestic product, constant prices","Gross domestic product, current prices","Inflation, average consumer prices","Inflation, end of period consumer prices",countriesAndTerritories,cases,deaths,popData2019,Death rate
161,BRN,Brunei Darussalam,-1.249,-26.578,1.064,1.297,37.342,0.903,0.903,Brunei_Darussalam,146,3,433296,0.020547945
126,BTN,Bhutan,-21.254,-5.529,1.421,2.671,8.2,3.072,3.444,Bhutan,283,0,763094,0
147,BWA,Botswana,-2.466,-5.903,-7.106,-5.379,41.809,2.116,2.116,Botswana,3172,16,2303703,0.005044136
217,CAF,Central African Republic,-5.348,-2.413,-0.735,1.044,4.27,1.25,3.469,Central_African_Republic,4829,62,4745179,0.012839097
210,CAN,Canada,-3.673,-11.837,-7.525,-6.226,"1,797.17",0.61,0.22,Canada,162659,9409,37411038,0.057844939
1148,CHE,Switzerland,7.216,-5.06,-7.07,-5.966,535.832,-0.387,-0.007,Switzerland,54263,1783,8544527,0.032858486
231,CHL,Chile,-0.869,-6.317,-6.21,-4.486,475.964,3.374,2.5,Chile,466590,12867,18952035,0.027576673
238,CHN,China,0.545,-11.228,0.872,1.181,"27,804.95",3.046,0.953,China,90584,4739,1433783692,0.052316082
273,CIV,CÙte d'Ivoire,-3.293,-5.272,0.097,2.7,163.594,1.2,1.2,Cote_dIvoire,19793,120,25716554,0.006062749
203,CMR,Cameroon,-5.658,-4.468,-3.625,-1.215,100.013,2.8,2.4,Cameroon,20924,420,25876387,0.020072644
294,COD,Democratic Republic of the Congo,-5.441,-1.178,-5.086,-2.239,81.806,11,12,Democratic_Republic_of_the_Congo,10684,272,86790568,0.02545863
966,COG,Republic of Congo,-1.208,5.7,-4.661,-2.277,30.702,2.065,2.517,Congo,5089,89,5380504,0.017488701
245,COL,Colombia,-4.672,-2.46,-3.353,-2.386,771.957,3.512,3.198,Colombia,841531,26397,50339443,0.031367828
252,COM,Comoros,-5.68,-3.778,-3.748,-1.16,2.516,3,-5.534,Comoros,484,7,850891,0.01446281
189,CPV,Cabo Verde,-7.742,-8.337,-5.171,-4.04,4.194,1.3,1.3,Cape_Verde,6205,62,549936,0.009991942
259,CRI,Costa Rica,-4.455,-7.846,-4.303,-3.292,89.597,1.537,2,Costa_Rica,77829,930,5047561,0.011949273
280,CYP,Cyprus,-8.286,-1.809,-7.527,-6.471,34.745,0.7,0.8,Cyprus,1789,22,875899,0.012297373
287,CZE,Czech Republic,-2.057,-4.726,-6.63,-6.5,388.587,2.073,2,Czechia,78051,699,10649800,0.008955683
420,DEU,Germany,6.58,-5.523,-6.961,-6.952,"4,160.93",0.322,0.203,Germany,296958,9527,83019213,0.032081978
